
2024/08/30 (23:08:30) | ===> btop++ v.1.3.2
2024/08/30 (23:08:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/30 (23:08:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/30 (23:19:10) | ===> btop++ v.1.3.2
2024/08/30 (23:19:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/30 (23:19:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/30 (23:20:04) | ===> btop++ v.1.3.2
2024/08/30 (23:20:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/30 (23:20:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/30 (23:20:32) | ===> btop++ v.1.3.2
2024/08/30 (23:20:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/30 (23:20:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/30 (23:21:44) | ===> btop++ v.1.3.2
2024/08/30 (23:21:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/30 (23:21:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (14:08:34) | ===> btop++ v.1.3.2
2024/08/31 (14:08:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (14:08:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (16:33:01) | ===> btop++ v.1.3.2
2024/08/31 (16:33:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (16:33:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (17:05:19) | ===> btop++ v.1.3.2
2024/08/31 (17:05:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (17:05:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (22:22:06) | ===> btop++ v.1.3.2
2024/08/31 (22:22:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (22:22:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/31 (23:18:26) | ===> btop++ v.1.3.2
2024/08/31 (23:18:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (23:18:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/01 (16:08:04) | ===> btop++ v.1.3.2
2024/09/01 (16:08:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/01 (16:08:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/01 (16:10:56) | ===> btop++ v.1.3.2
2024/09/01 (16:10:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/01 (16:10:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

